
# Curve 0 of 1, 100 points
# Curve title: "'+' using ($1*2)"
# x y type
 0  0.02  o
 1  0.060202  i
 2  0.100404  i
 3  0.140606  o
 4  0.180808  o
 5  0.22101  o
 6  0.261212  o
 7  0.301414  o
 8  0.341616  o
 9  0.381818  o
 10  0.42202  o
 11  0.462222  o
 12  0.502424  o
 13  0.542626  o
 14  0.582828  o
 15  0.62303  o
 16  0.663232  o
 17  0.703434  o
 18  0.743636  o
 19  0.783838  o
 20  0.82404  o
 21  0.864242  o
 22  0.904444  o
 23  0.944646  o
 24  0.984848  o
 25  1.02505  o
 26  1.06525  o
 27  1.10545  o
 28  1.14566  o
 29  1.18586  o
 30  1.22606  o
 31  1.26626  o
 32  1.30646  o
 33  1.34667  o
 34  1.38687  o
 35  1.42707  o
 36  1.46727  o
 37  1.50747  o
 38  1.54768  o
 39  1.58788  o
 40  1.62808  o
 41  1.66828  o
 42  1.70848  o
 43  1.74869  o
 44  1.78889  o
 45  1.82909  o
 46  1.86929  o
 47  1.90949  o
 48  1.9497  o
 49  1.9899  o
 50  2.0301  o
 51  2.0703  o
 52  2.11051  o
 53  2.15071  o
 54  2.19091  o
 55  2.23111  o
 56  2.27131  o
 57  2.31152  o
 58  2.35172  o
 59  2.39192  o
 60  2.43212  o
 61  2.47232  o
 62  2.51253  o
 63  2.55273  o
 64  2.59293  o
 65  2.63313  o
 66  2.67333  o
 67  2.71354  o
 68  2.75374  o
 69  2.79394  o
 70  2.83414  o
 71  2.87434  o
 72  2.91455  o
 73  2.95475  o
 74  2.99495  o
 75  3.03515  o
 76  3.07535  o
 77  3.11556  o
 78  3.15576  o
 79  3.19596  o
 80  3.23616  o
 81  3.27636  o
 82  3.31657  o
 83  3.35677  o
 84  3.39697  o
 85  3.43717  o
 86  3.47737  o
 87  3.51758  o
 88  3.55778  o
 89  3.59798  o
 90  3.63818  o
 91  3.67838  o
 92  3.71859  o
 93  3.75879  o
 94  3.79899  o
 95  3.83919  o
 96  3.87939  o
 97  3.9196  o
 98  3.9598  o
 99  4  o

