2731/1000	0.011294398797903171+0.*I
2741/1000	0.011351086784768372
2751/1000	0.011407805022892709
2761/1000	0.0114645530352918
2771/1000	0.011521330347992631
2781/1000	0.011578136490008314
2791/1000	0.011634970993316923+8.385951929764471*^-17*I
2801/1000	0.011691833392840592
2811/1000	0.011748723226422245
2821/1000	0.011805640034804277+8.385951929764471*^-17*I
2831/1000	0.011862583361609697+0.*I
2841/1000	0.011919552753317644+0.*I
2851/1000	0.011976547759244588
2861/1000	0.012033567931524158
2871/1000	0.012090612825084487
2881/1000	0.012147681997630805+5.748195384764141*^-17*I
2891/1000	0.01220477500962322
2901/1000	0.01226189142425893
2911/1000	0.01231903080745006
2921/1000	0.01237619272780742
2931/1000	0.012433376756617626+0.*I
2941/1000	0.012490582467827957+2.713359612637033*^-16*I
2951/1000	0.012547809438024263
2961/1000	0.012605057246414572
2971/1000	0.012662325474808667
2981/1000	0.012719613707602523+5.753814344084536*^-17*I
2991/1000	0.012776921531756219+5.911743828916848*^-16*I
3001/1000	0.012834248536780793
3011/1000	0.012891594314714108+0.*I
3021/1000	0.012948958460112112
3031/1000	0.013006340570022062
3041/1000	0.0130637402439715+0.*I
3051/1000	0.01312115708394912+0.*I
3061/1000	0.013178590694386788-5.91174946680048*^-16*I
3071/1000	0.013236040682144706
3081/1000	0.013293506656493842+0.*I
3091/1000	0.013350988229098651
3101/1000	0.013408485014003296+8.385951929764471*^-17*I
3111/1000	0.01346599662761154+5.911743828916848*^-16*I
3121/1000	0.0135235226886736+2.713276804945983*^-16*I
3131/1000	0.013581062818270276+0.*I
3141/1000	0.013638616639797124
3151/1000	0.013696183778945326
3161/1000	0.0137537638636923+0.*I
3171/1000	0.013811356524280533+5.742576425443747*^-17*I
3181/1000	0.013868961393207646+0.*I
3191/1000	0.013926578105206769
3201/1000	0.013984206297234528
3211/1000	0.01404184560845502
3221/1000	0.014099495680226004
3231/1000	0.014157156156083026-5.742576425443747*^-17*I
3241/1000	0.014214826681727258+0.*I
3251/1000	0.014272506905008989+0.*I
3261/1000	0.014330196475914062-8.38390407825537*^-17*I
3271/1000	0.0143878950465514
3281/1000	0.014445602271136462+8.38390407825537*^-17*I
3291/1000	0.014503317805980756
3301/1000	0.014561041309474512+0.*I
3311/1000	0.014618772442076003
3321/1000	0.014676510866296844-5.911738191033216*^-16*I
3331/1000	0.014734256246689864+8.38390407825537*^-17*I
3341/1000	0.01479200824983394
3351/1000	0.014849766544322088+0.*I
3361/1000	0.014907530800748955
3371/1000	0.014965300691698116+0.*I
3381/1000	0.015023075891727536-8.37980837523717*^-17*I
3391/1000	0.015080856077358346+8.38390407825537*^-17*I
3401/1000	0.015138640927062574+2.713276804945983*^-16*I
3411/1000	0.015196430121250173
3421/1000	0.015254223342255804
3431/1000	0.015312020274329735-8.38390407825537*^-17*I
3441/1000	0.015369820603620896+8.38390407825537*^-17*I
3451/1000	0.01542762401816987
3461/1000	0.015485430207893017+5.742576425443747*^-17*I
3471/1000	0.015543238864573886+6.750134236742385*^-16*I
3481/1000	0.015601049681847431+5.742576425443747*^-17*I
3491/1000	0.01565886235519448-2.713359612637033*^-16*I
3501/1000	0.015716676581924133+0.*I
3511/1000	0.015774492061164977
3521/1000	0.015832308493854516+0.*I
3531/1000	0.015890125582726414+0.*I
3541/1000	0.015947943032299725
3551/1000	0.0160057605488695-8.38390407825537*^-17*I
3561/1000	0.016063577840492838+5.742576425443747*^-17*I
3571/1000	0.016121394616979673
3581/1000	0.016179210589883766+0.*I
3591/1000	0.01623702547248644
3601/1000	0.016294838979792794+0.*I
3611/1000	0.016352650828517723-1.874886397120446*^-16*I
3621/1000	0.016410460737073876-8.38390407825537*^-17*I
3631/1000	0.01646826842556437
3641/1000	0.01652607361577059
3651/1000	0.01658387603114342
3661/1000	0.016641675396792538
3671/1000	0.016699471439474964+0.*I
3681/1000	0.016757263887586443
3691/1000	0.016815052471152128+5.742576425443747*^-17*I
3701/1000	0.016872836921816348+2.7134424203280843*^-16*I
3711/1000	0.016930616972830936+0.*I
3721/1000	0.01698839235904795
3731/1000	0.01704616281691028
3741/1000	0.01710392808443971
3751/1000	0.01716168790122946
3761/1000	0.017219442008434088+0.*I
3771/1000	0.017277190148760765
3781/1000	0.017334932066459308
3791/1000	0.017392667507312762+0.*I
3801/1000	0.0174503962186298+0.*I
3811/1000	0.017508117949234916+0.*I
3821/1000	0.017565832449457863+0.*I
3831/1000	0.017623539471128574+0.*I
3841/1000	0.01768123876756321+0.*I
3851/1000	0.017738930093560548
3861/1000	0.01779661320539025-1.874886397120446*^-16*I
3871/1000	0.01785428786078329+0.*I
3881/1000	0.017911953818927434
3891/1000	0.017969610840455397-5.742576425443747*^-17*I
3901/1000	0.018027258687437445
3911/1000	0.01808489712337122-3.5517500204625697*^-16*I
3921/1000	0.0181425259131782+8.38390407825537*^-17*I
3931/1000	0.018200144823190566
3941/1000	0.018257753621144845+5.911738191033216*^-16*I
3951/1000	0.018315352076172957+0.*I
3961/1000	0.018372939958797248-2.713359612637033*^-16*I
3971/1000	0.01843051704091892-2.713359612637033*^-16*I
3981/1000	0.01848808309580996
3991/1000	0.018545637898109403
4001/1000	0.018603181223809717+0.*I
4011/1000	0.018660712850255015-5.911738191033216*^-16*I
4021/1000	0.01871823255612723+0.*I
4031/1000	0.018775740121443923
4041/1000	0.018833235327547014+0.*I
4051/1000	0.018890717957097243
4061/1000	0.018948187794064715+5.911732553149584*^-16*I
4071/1000	0.019005644623723346+0.*I
4081/1000	0.019063088232643452+0.*I
4091/1000	0.019120518408682154-5.911738191033216*^-16*I
4101/1000	0.019177934940978726
4111/1000	0.019235337619945038-8.38390407825537*^-17*I
4121/1000	0.019292726237261484
4131/1000	0.019350100585866545+0.*I
4141/1000	0.019407460459949157
4151/1000	0.019464805654947397-6.749724666440565*^-16*I
4161/1000	0.019522135967535992
4171/1000	0.01957945119561904+5.911743828916848*^-16*I
4181/1000	0.019636751138328003
4191/1000	0.019694035596009733+0.*I
4201/1000	0.019751304370223502
4211/1000	0.019808557263732103+0.*I
4221/1000	0.019865794080493757-8.38390407825537*^-17*I
4231/1000	0.01992301462565938
4241/1000	0.01998021870556442+5.742576425443747*^-17*I
4251/1000	0.02003740612771935
4261/1000	0.020094576700807484+0.*I
4271/1000	0.02015173023467521+8.38390407825537*^-17*I
4281/1000	0.020208866540327795+6.486001471461222*^-16*I
4291/1000	0.020265985429921404
4301/1000	0.02032308671675811
4311/1000	0.02038017021527814+0.*I
4321/1000	0.020437235741054237
4331/1000	0.020494283110786514
4341/1000	0.02055131214229408-4.1259248553158946*^-16*I
4351/1000	0.02060832265450996+8.37980837523717*^-17*I
4361/1000	0.020665314467477255
4371/1000	0.02072228740233796+0.*I
4381/1000	0.02077924128133147-5.742576425443747*^-17*I
4391/1000	0.020836175927787616
4401/1000	0.02089309116611785-8.38390407825537*^-17*I
4411/1000	0.020949986821813933-5.742576425443747*^-17*I
4421/1000	0.02100686272143927
4431/1000	0.02106371869262142-2.713111189563883*^-16*I
4441/1000	0.02112055456405213
4451/1000	0.021177370165474614
4461/1000	0.021234165327682845+0.*I
4471/1000	0.02129093988251267+0.*I
4481/1000	0.02134769366284022+0.*I
4491/1000	0.02140442650257024+5.753814344084536*^-17*I
4501/1000	0.021461138236637804
4511/1000	0.02151782870099543+0.*I
4521/1000	0.021574497732612545
4531/1000	0.02163114516947006+5.742576425443747*^-17*I
4541/1000	0.021687770850551458
4551/1000	0.021744374615839536
4561/1000	0.021800956306311785+5.753814344084536*^-17*I
4571/1000	0.021857515763934875
