1/1000	1.0515614670691953*^-8-3.519045500514549*^-14*I
11/1000	9.421694519007318*^-7+1.002345607561071*^-15*I
21/1000	3.1093118896541316*^-6+1.2936011992265687*^-16*I
31/1000	6.349664210078543*^-6+1.5218831062980278*^-15*I
41/1000	0.000010572094105376628
51/1000	0.000015712108993287677
61/1000	0.000021719648825427318
71/1000	0.000028553767035657818-1.0023303129808778*^-15*I
81/1000	0.000036179810074477015
91/1000	0.00004456773645039602-6.136763453647696*^-16*I
101/1000	0.000053691032144656536-5.6909626432922755*^-15*I
111/1000	0.00006352596969456947+9.424321079061607*^-19*I
121/1000	0.00007405107895384899
131/1000	0.0000852467561288095-3.2184338862717737*^-16*I
141/1000	0.00009709496642749949
151/1000	0.00010957901275319981-2.430598854715612*^-16*I
161/1000	0.00012268335216360227-5.72337514419684*^-15*I
171/1000	0.0001363934477290607-1.2066115187530439*^-14*I
181/1000	0.00015069564733309615+9.225848663611787*^-16*I
191/1000	0.00016557708316955466
201/1000	0.00018102558746151132
211/1000	0.00019702962114753753
221/1000	0.00021357821299151925+1.1330297672215138*^-15*I
231/1000	0.0002306609070870519-7.607572274318973*^-16*I
241/1000	0.00024826771743038933
251/1000	0.0002663890882422526
261/1000	0.0002850158590825269-2.918065326146649*^-16*I
271/1000	0.00030413923410997634
281/1000	0.0003237507548453922
291/1000	0.00034384227578156124+5.5441412327738755*^-15*I
301/1000	0.0003644059426831242+1.1305544096797523*^-14*I
311/1000	0.0003854341729746663
321/1000	0.00040691963810594867+3.0685690174132903*^-16*I
331/1000	0.0004288552476544305+3.3314213075299997*^-16*I
341/1000	0.00045123413469193296
351/1000	0.0004740496426899887+1.6251563186934732*^-16*I
361/1000	0.0004972953134429192
371/1000	0.0005209648759450791-9.052523702925923*^-16*I
381/1000	0.0005450522363623506
391/1000	0.000569551468566451+1.4976809160258186*^-17*I
401/1000	0.0005944568056606703
411/1000	0.0006197626319260213+3.3839812417131065*^-15*I
421/1000	0.0006454634754749916+5.001939506481516*^-16*I
431/1000	0.0006715540014361754-5.993663526389087*^-16*I
441/1000	0.0006980290055498412+9.46344524471339*^-19*I
451/1000	0.0007248834082963368
461/1000	0.0007521122493096-8.248804495645384*^-16*I
471/1000	0.0007797106822814703+6.561953341043186*^-17*I
481/1000	0.0008076739700550034
491/1000	0.0008359974801609438+3.389334957248849*^-16*I
501/1000	0.0008646766805357337+2.0954702558357974*^-15*I
511/1000	0.0008937071355374776-5.152001837949722*^-16*I
521/1000	0.0009230845021685058
531/1000	0.000952804526574827-1.4457367527142955*^-15*I
541/1000	0.00098286304066722+5.152400569517133*^-16*I
551/1000	0.0010132559590100704
561/1000	0.0010439792757964972+2.3884016430166145*^-16*I
571/1000	0.001075029062039115-7.594567877268854*^-16*I
581/1000	0.0011064014629516283
591/1000	0.0011380926953371423+7.579705709211578*^-16*I
601/1000	0.001170099045243636-1.984003414639645*^-15*I
611/1000	0.0012024168656335904-1.1245226575313534*^-15*I
621/1000	0.0012350425742548993-1.4012087472467314*^-17*I
631/1000	0.001267972651578686-1.0603474209202735*^-15*I
641/1000	0.0013012036387900494-6.80419383058528*^-16*I
651/1000	0.0013347321359223063
661/1000	0.0013685548001058784
671/1000	0.0014026683438339155+1.0490542018660828*^-15*I
681/1000	0.001437069575801489-5.298605555117172*^-17*I
691/1000	0.0014717552307268872-1.1424175438020392*^-14*I
701/1000	0.0015067222189395352-1.3010137754002007*^-15*I
711/1000	0.0015419674587948823-9.798032945742039*^-17*I
721/1000	0.001577487916503681+8.511872344818124*^-17*I
731/1000	0.001613280604928588+1.2168759890631754*^-14*I
741/1000	0.0016493425822123736-9.655229192172455*^-16*I
751/1000	0.0016856709505953804
761/1000	0.0017222628553462405
771/1000	0.0017591154835526757+1.0317100201110497*^-15*I
781/1000	0.001796226063048495-1.3328752180809325*^-16*I
791/1000	0.0018335918614825891-3.7366560752879625*^-16*I
801/1000	0.0018712101852565721-6.011794577485274*^-17*I
811/1000	0.0019090783785569582-6.586198371556079*^-16*I
821/1000	0.0019471938224856211-1.4014608403202752*^-16*I
831/1000	0.001985553934174822-9.273810517595453*^-16*I
841/1000	0.0020241561658954355-4.58404010862019*^-16*I
851/1000	0.0020629980042682627+1.448140770037652*^-16*I
861/1000	0.00210207696948643+1.7003889997894552*^-16*I
871/1000	0.002141390614474964+6.45474266702163*^-17*I
881/1000	0.00218093652425351-1.3244057376031177*^-15*I
891/1000	0.0022207123151425923+4.218121024530715*^-16*I
901/1000	0.002260715634125665-1.2343517807466855*^-16*I
911/1000	0.002300944158160484+5.74558715826362*^-17*I
921/1000	0.0023413955935022435+2.008848878620095*^-16*I
931/1000	0.002382067675164967+1.6197216228062215*^-17*I
941/1000	0.0024229581662199434+0.*I
951/1000	0.0024640648572678975-5.693054415499794*^-16*I
961/1000	0.0025053855658738883+6.043689700750377*^-16*I
971/1000	0.002546918135995571+3.9679357562662296*^-16*I
981/1000	0.002588660437435622-1.6081258673934826*^-16*I
991/1000	0.0026306103653716273+1.4188624265596545*^-16*I
1001/1000	0.002672765839829727+0.*I
1011/1000	0.002715124805210564-8.375885342656816*^-16*I
1021/1000	0.002757685229786422+7.220793435846411*^-16*I
1031/1000	0.0028004451052755786-6.199931665422814*^-17*I
1041/1000	0.0028434024463875746+2.352513990159337*^-17*I
1051/1000	0.002886555290385895-1.3620433442722048*^-16*I
1061/1000	0.0029299016967008484+0.*I
1071/1000	0.0029734397464500906+2.750206281159948*^-17*I
1081/1000	0.0030171675421221122+7.92989652273439*^-16*I
1091/1000	0.003061083207134857-1.6044878978660102*^-16*I
1101/1000	0.0031051848854976444-1.7445602035659702*^-15*I
1111/1000	0.003149470741403995+4.703269218855459*^-17*I
1121/1000	0.00319393895891483+5.826582746274717*^-16*I
1131/1000	0.0032385877416102604+2.0356772143555623*^-15*I
1141/1000	0.003283415312227228+5.945966812222214*^-16*I
1151/1000	0.0033284199123260194-7.771578013280946*^-17*I
1161/1000	0.0033735998020437974-6.413922303579888*^-16*I
1171/1000	0.003418953259662738-6.419575171690415*^-16*I
1181/1000	0.0034644785814135215+9.958521668628625*^-17*I
1191/1000	0.003510174081146733+3.0922226101488017*^-16*I
1201/1000	0.0035560380899860716+4.703269218855459*^-17*I
1211/1000	0.0036020689561587216+6.206431657111114*^-16*I
1221/1000	0.0036482650445919113+6.709431549612122*^-16*I
1231/1000	0.003694624736777549-6.716054529847279*^-16*I
1241/1000	0.003741146430390044+6.351150977928166*^-15*I
1251/1000	0.003787828539109153+1.841065293569595*^-19*I
1261/1000	0.0038346694923426794+1.2115235615207387*^-14*I
1271/1000	0.0038816677349900325+5.954144178601944*^-16*I
1281/1000	0.003928821727181883+1.693780070084027*^-19*I
1291/1000	0.003976129944097004-1.9534981152475162*^-16*I
1301/1000	0.0040235908756793975-1.6151847973858945*^-15*I
1311/1000	0.004071203026444203+6.83246952789195*^-17*I
1321/1000	0.004118964915277121+1.6938268716762678*^-15*I
1331/1000	0.004166875075175908-2.149426777979364*^-16*I
1341/1000	0.004214932053083098-9.322999840388797*^-16*I
1351/1000	0.004263134409676364+5.522377630044169*^-16*I
1361/1000	0.004311480719168384+1.5904927768313422*^-15*I
1371/1000	0.0043599695690710455-6.166614766813345*^-15*I
1381/1000	0.004408599560088336-1.5121044383278754*^-16*I
1391/1000	0.004457369305860923-2.9693678601834447*^-16*I
1401/1000	0.00450627743280714+1.2276529580980279*^-14*I
1411/1000	0.004555322579949922-7.430089872050758*^-16*I
1421/1000	0.004604503398732446+1.2145115946590604*^-15*I
1431/1000	0.004653818552879774+2.6251003609761195*^-17*I
1441/1000	0.004703266718160348-5.559173472247115*^-15*I
1451/1000	0.004752846582301254-2.9818669401558656*^-16*I
1461/1000	0.004802556844766229+6.233524693549853*^-17*I
1471/1000	0.0048523962166502205-1.0132988592821464*^-14*I
1481/1000	0.004902363420480019-2.0408718487373603*^-15*I
1491/1000	0.004952457190090118-1.2014506427685676*^-14*I
1501/1000	0.005002676270468631-6.0801636807485074*^-15*I
1511/1000	0.005053019417603499+2.2467624661551635*^-15*I
1521/1000	0.005103485398354382-4.406595008654607*^-15*I
1531/1000	0.005154072990289818-1.3632136588066114*^-14*I
1541/1000	0.005204780981584639+3.0922226101488017*^-16*I
1551/1000	0.005255608170858933-1.3707527800116074*^-14*I
1561/1000	0.005306553367053157-4.363708091695426*^-17*I
1571/1000	0.005357615389292594-2.907696330260467*^-15*I
1581/1000	0.005408793066771847+4.933146045543101*^-16*I
1591/1000	0.005460085238619905-2.0907095231458117*^-15*I
1601/1000	0.005511490753809092-6.086385206282464*^-15*I
1611/1000	0.005563008470955574-2.763217345040928*^-16*I
1621/1000	0.005614637258309477+1.1281881366790591*^-15*I
1631/1000	0.005666375993565814+1.0378031403672264*^-16*I
1641/1000	0.005718223563746988-6.414755230303701*^-16*I
1651/1000	0.005770178865120365+4.95321061192516*^-16*I
1661/1000	0.0058222408031045475-1.0754961738903071*^-15*I
